text,label
best player in the league right now no one is close,positive
generational talent we will be talking about him for decades,positive
he showed up in the big moment that is what stars do,positive
this man is different on another level than everyone else,positive
he is washed bro cannot defend anyone anymore,negative
dude is cooked been declining for two seasons straight,negative
absolute bum cannot hit a shot when it matters at all,negative
biggest fraud in the league gets exposed every single playoffs,negative
total clown show out there tonight turnover after turnover,negative
this team is soft cannot handle any physical play at all,negative
dude airballed the free throw in crunch time embarrassing,negative
he choked again classic disappearing act in the playoffs,negative
this roster is mid at best no real star power whatsoever,negative
overrated as hell the stats are empty on a bad team,negative
dude is done finished get him off my team please,negative
worst contract in the league barely moving out there,negative
that was a brick parade all night shooting under 30 percent,negative
he threw it away again turnover machine this whole game,negative
this guy is such a liability on defense get him off the court,negative
fans glazing him are delusional the numbers do not lie,negative
took a massive L tonight got exposed by a rookie guard,negative
cannot create his own shot at all needs everything hand delivered,negative
horrible signing clearly not worth anywhere near that max contract,negative
this team has no heart quit in the fourth quarter again,negative
total collapse blew a 20 point lead that is inexcusable,negative
dude is all hype no substance cannot win when it counts,negative
washed veteran taking up a roster spot blocking young guys,negative
that defense is a sieve getting torched every single possession,negative
getting bullied in the post embarrassing for a supposed star,negative
trade bait at this point no one wants him for that salary,negative
play is so predictable opposing coaches know every call,negative
cannot stay healthy soft always finding a way to miss games,negative
shooting splits are atrocious on a team that needs scoring,negative
he disappeared when his team needed him most total fraud behavior,negative
dude stinks every single night just not an nba level player,negative
ball movement tonight was really crisp good team basketball,neutral
he finished with a triple double solid all around night,neutral
trade deadline rumors starting to pick up around this team,neutral
they are sitting him tonight load management before the playoffs,neutral
final score was close game came down to the wire,neutral
coaching staff adjustments at halftime changed the game flow,neutral
the salary cap situation makes it tricky to add pieces this summer,neutral
he came off the bench tonight resting the starter,neutral
season series now tied heading into the final matchup,neutral
back to back games on the schedule tough stretch coming up,neutral
rookie showing flashes still learning the speed of the game,neutral
contract extension talks expected to begin this offseason,neutral
the pick and roll defense needs some work to be better,neutral
both teams have identical records right now tight race in the standings,neutral
he grabbed 12 boards tonight active on the glass,neutral
team announced the injury report mid week player is questionable,neutral
first round matchup officially set bracket is locked in,neutral
fourth quarter possession with 30 seconds left and game tied,neutral
dude split the double team and found the open man decent read,neutral
season stats are solid but the team record tells a different story,neutral
timeout called with 2 minutes left to draw up a final play,neutral
he went to the line 8 times tonight draws contact well,neutral
replay review confirmed the call stood as called on the floor,neutral
front office has some decisions to make before the trade deadline,neutral
young core getting valuable playoff experience this postseason,neutral
